title,rating,genre,popularity,member,duration,studios,aired
Nonton Itou Junji: Collection Sub Indo,6.51,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']",Popularity: #1337,Members: 80530,Duration: 24 min per ep,Studios: Studio Deen,"Aired: Jan 5, 2018 to Mar 23, 2018"
Nonton Itsudatte Bokura no Koi wa 10 cm Datta. Sub Indo,7.46,"['Drama', 'Romance', 'School', 'Visual Arts']",Popularity: #1052,Members: 93068,Duration: 23 min per ep,Studios: Lay-duce,"Aired: Nov 25, 2017 to Dec 30, 2017"
Nonton Itsuka Aeru Kimi ni Sub Indo,5.62,"['Romance', 'Sci-Fi']",Popularity: #10558,Members: 1186,Duration: 12 min,Studios: Asura Film,"Aired: Oct 6, 2018"
Nonton Itsuka Tenma no Kuro Usagi Sub Indo,6.51,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Romance', 'School', 'Vampire']",Popularity: #1692,Members: 58831,Duration: 24 min per ep,Studios: Zexcs,"Aired: Jul 9, 2011 to Sep 24, 2011"
Nonton Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi – School Attendance Day Sub Indo,6.88,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Romance', 'School', 'Vampire']",Popularity: #4812,Members: 9780,Duration: 24 min,Studios: Zexcs,"Aired: Dec 5, 2011"
Nonton Iwa Kakeru!: Sport Climbing Girls Sub Indo,6.49,"['School', 'Sports']",Popularity: #2150,Members: 36572,Duration: 23 min per ep,Studios: Blade,"Aired: Oct 4, 2020 to Dec 20, 2020"
Nonton Ixion Saga DT Sub Indo,7.13,"['Action', 'Comedy', 'Fantasy', 'Isekai']",Popularity: #1892,Members: 47017,Duration: 24 min per ep,Studios: Brain's Base,"Aired: Oct 8, 2012 to Apr 1, 2013"
Nonton Iya na Kao sare nagara Opantsu Misete Moraitai Sub Indo,5.72,['Ecchi'],Popularity: #2149,Members: 34171,Duration: 4 min per ep,Studios: UWAN Pictures,"Aired: Jul 14, 2018 to Aug 13, 2018"
Nonton Iya na Kao sare nagara Opantsu Misete Moraitai 2 Sub Indo,5.89,['Ecchi'],Popularity: #3711,Members: 14121,Duration: 4 min per ep,Studios: A-Real,"Aired: Nov 22, 2019 to Dec 27, 2019"
Nonton Jahy-sama wa Kujikenai! Sub Indo,7.03,"['Comedy', 'Shounen', 'Supernatural']",Popularity: #984,Members: 85008,Duration: 23 min per ep,Studios: SILVER LINK.,"Aired: Aug 1, 2021 to Dec 19, 2021"
Nonton Jaku-Chara Tomozaki-kun Sub Indo,7.12,"['Drama', 'Romance', 'School']",Popularity: #605,Members: 193357,Duration: 23 min per ep,Studios: Project No.9,"Aired: Jan 8, 2021 to Mar 26, 2021"
